experiment_name,case_id,repetition_index,round_id,turn_id,turn_sequence,secret_word,imposter_was,candidate_agent_id,candidate_clue,is_imposter,all_clues_json
llm_qwen7b_few_shot_20260710T201518Z,0,0,545d9ed5-3811-4f61-a788-ba2514b4a9db,497aa51e-12bc-41c6-8b04-2a9487376897,1,unc chapel hill,Agent D,agent_b,academic ivy,0,"[{""agent_id"": ""agent_b"", ""agent_name"": ""Agent B"", ""clue"": ""academic ivy""}, {""agent_id"": ""agent_d"", ""agent_name"": ""Agent D"", ""clue"": ""compass direction""}, {""agent_id"": ""agent_a"", ""agent_name"": ""Agent A"", ""clue"": ""not flat terrain""}, {""agent_id"": ""agent_c"", ""agent_name"": ""Agent C"", ""clue"": ""research triangle park""}]"
llm_qwen7b_few_shot_20260710T201518Z,0,0,545d9ed5-3811-4f61-a788-ba2514b4a9db,497aa51e-12bc-41c6-8b04-2a9487376897,1,unc chapel hill,Agent D,agent_d,compass direction,1,"[{""agent_id"": ""agent_b"", ""agent_name"": ""Agent B"", ""clue"": ""academic ivy""}, {""agent_id"": ""agent_d"", ""agent_name"": ""Agent D"", ""clue"": ""compass direction""}, {""agent_id"": ""agent_a"", ""agent_name"": ""Agent A"", ""clue"": ""not flat terrain""}, {""agent_id"": ""agent_c"", ""agent_name"": ""Agent C"", ""clue"": ""research triangle park""}]"
llm_qwen7b_few_shot_20260710T201518Z,0,0,545d9ed5-3811-4f61-a788-ba2514b4a9db,497aa51e-12bc-41c6-8b04-2a9487376897,1,unc chapel hill,Agent D,agent_a,not flat terrain,0,"[{""agent_id"": ""agent_b"", ""agent_name"": ""Agent B"", ""clue"": ""academic ivy""}, {""agent_id"": ""agent_d"", ""agent_name"": ""Agent D"", ""clue"": ""compass direction""}, {""agent_id"": ""agent_a"", ""agent_name"": ""Agent A"", ""clue"": ""not flat terrain""}, {""agent_id"": ""agent_c"", ""agent_name"": ""Agent C"", ""clue"": ""research triangle park""}]"
llm_qwen7b_few_shot_20260710T201518Z,0,0,545d9ed5-3811-4f61-a788-ba2514b4a9db,497aa51e-12bc-41c6-8b04-2a9487376897,1,unc chapel hill,Agent D,agent_c,research triangle park,0,"[{""agent_id"": ""agent_b"", ""agent_name"": ""Agent B"", ""clue"": ""academic ivy""}, {""agent_id"": ""agent_d"", ""agent_name"": ""Agent D"", ""clue"": ""compass direction""}, {""agent_id"": ""agent_a"", ""agent_name"": ""Agent A"", ""clue"": ""not flat terrain""}, {""agent_id"": ""agent_c"", ""agent_name"": ""Agent C"", ""clue"": ""research triangle park""}]"
llm_qwen7b_few_shot_20260710T201518Z,1,0,b67f2d55-441b-4e12-be03-a1d003744ef5,f5cefc4a-8ef3-4a9c-964b-dc4c0a550a5b,1,day,Agent B,agent_b,sunbeam entry,1,"[{""agent_id"": ""agent_b"", ""agent_name"": ""Agent B"", ""clue"": ""sunbeam entry""}, {""agent_id"": ""agent_d"", ""agent_name"": ""Agent D"", ""clue"": ""morning light""}, {""agent_id"": ""agent_c"", ""agent_name"": ""Agent C"", ""clue"": ""dry clothes""}, {""agent_id"": ""agent_a"", ""agent_name"": ""Agent A"", ""clue"": ""beach sand""}]"
llm_qwen7b_few_shot_20260710T201518Z,1,0,b67f2d55-441b-4e12-be03-a1d003744ef5,f5cefc4a-8ef3-4a9c-964b-dc4c0a550a5b,1,day,Agent B,agent_d,morning light,0,"[{""agent_id"": ""agent_b"", ""agent_name"": ""Agent B"", ""clue"": ""sunbeam entry""}, {""agent_id"": ""agent_d"", ""agent_name"": ""Agent D"", ""clue"": ""morning light""}, {""agent_id"": ""agent_c"", ""agent_name"": ""Agent C"", ""clue"": ""dry clothes""}, {""agent_id"": ""agent_a"", ""agent_name"": ""Agent A"", ""clue"": ""beach sand""}]"
llm_qwen7b_few_shot_20260710T201518Z,1,0,b67f2d55-441b-4e12-be03-a1d003744ef5,f5cefc4a-8ef3-4a9c-964b-dc4c0a550a5b,1,day,Agent B,agent_c,dry clothes,0,"[{""agent_id"": ""agent_b"", ""agent_name"": ""Agent B"", ""clue"": ""sunbeam entry""}, {""agent_id"": ""agent_d"", ""agent_name"": ""Agent D"", ""clue"": ""morning light""}, {""agent_id"": ""agent_c"", ""agent_name"": ""Agent C"", ""clue"": ""dry clothes""}, {""agent_id"": ""agent_a"", ""agent_name"": ""Agent A"", ""clue"": ""beach sand""}]"
llm_qwen7b_few_shot_20260710T201518Z,1,0,b67f2d55-441b-4e12-be03-a1d003744ef5,f5cefc4a-8ef3-4a9c-964b-dc4c0a550a5b,1,day,Agent B,agent_a,beach sand,0,"[{""agent_id"": ""agent_b"", ""agent_name"": ""Agent B"", ""clue"": ""sunbeam entry""}, {""agent_id"": ""agent_d"", ""agent_name"": ""Agent D"", ""clue"": ""morning light""}, {""agent_id"": ""agent_c"", ""agent_name"": ""Agent C"", ""clue"": ""dry clothes""}, {""agent_id"": ""agent_a"", ""agent_name"": ""Agent A"", ""clue"": ""beach sand""}]"
llm_qwen7b_few_shot_20260710T201518Z,2,0,27d68679-52c3-4edc-b443-b1f80b3ad4f4,6693d590-2648-43f2-8221-afe2c949c9c1,1,life,Agent C,agent_a,endless cycle,0,"[{""agent_id"": ""agent_a"", ""agent_name"": ""Agent A"", ""clue"": ""endless cycle""}, {""agent_id"": ""agent_b"", ""agent_name"": ""Agent B"", ""clue"": ""living world""}, {""agent_id"": ""agent_c"", ""agent_name"": ""Agent C"", ""clue"": ""life sign""}, {""agent_id"": ""agent_d"", ""agent_name"": ""Agent D"", ""clue"": ""death opposite""}]"
llm_qwen7b_few_shot_20260710T201518Z,2,0,27d68679-52c3-4edc-b443-b1f80b3ad4f4,6693d590-2648-43f2-8221-afe2c949c9c1,1,life,Agent C,agent_b,living world,0,"[{""agent_id"": ""agent_a"", ""agent_name"": ""Agent A"", ""clue"": ""endless cycle""}, {""agent_id"": ""agent_b"", ""agent_name"": ""Agent B"", ""clue"": ""living world""}, {""agent_id"": ""agent_c"", ""agent_name"": ""Agent C"", ""clue"": ""life sign""}, {""agent_id"": ""agent_d"", ""agent_name"": ""Agent D"", ""clue"": ""death opposite""}]"
